Album_url,AoTY,A.V.,AMG,CoS,DIY,DiS,OMH,NME,NoRip,Paste,P4K,PM,PMA,RS,Spin,405,TLOBF,Skinny,TMT,Radar,Artist,Profile_url,Album,ReleaseDate,Label,Genre,Artist_url,SD
http://albumoftheyear.org/album/12814-tokyo-police-club-forcefield.php,66,75,70,43,60,70,70,60,60,,64,50,58,,,,70,,,70,Tokyo Police Club,http://albumoftheyear.org/artist/1059-tokyo-police-club/,Forcefield,2014-03-25,Mom + Pop,Indie Rock,,8.99216182900277
http://albumoftheyear.org/album/14113-tune-yards-nikki-nack.php,82,91,90,50,80,80,90,80,80,73,81,80,91,80,90,60,85,,80,80,tUnE-yArDs,http://albumoftheyear.org/artist/390-tune-yards/,Nikki Nack,2014-05-06,4AD,Art Pop,,10.6287623096621
http://albumoftheyear.org/album/19930-tv-on-the-radio-seeds.php,77,50,80,67,80,80,90,80,90,79,72,80,83,70,70,90,80,,,75,TV on the Radio,http://albumoftheyear.org/artist/391-tv-on-the-radio/,Seeds,2014-11-18,Harvest,Indie Rock,http://tvontheradioband.com,9.83690530006023
http://albumoftheyear.org/album/16607-ty-segall-manipulator.php,79,83,80,91,80,80,,80,90,83,78,70,75,60,,75,75,,,80,Ty Segall,http://albumoftheyear.org/artist/1453-ty-segall/,Manipulator,2014-08-26,Drag City,Psychedelic Rock,http://ty-segall.com,7.50999334220743
http://albumoftheyear.org/album/12089-tycho-awake.php,65,,70,67,60,70,70,60,50,73,70,40,,,,55,80,,,75,Tycho,http://albumoftheyear.org/artist/1989-tycho/,Awake,2014-03-18,Ghostly International,Downtempo,,10.7070549471377
http://albumoftheyear.org/album/10726-warpaint-warpaint.php,74,75,80,91,80,60,80,90,50,80,57,70,67,70,70,85,85,80,70,70,Warpaint,http://albumoftheyear.org/artist/966-warpaint/,Warpaint,2014-01-21,Rough Trade,Indie Rock,http://warpaintwarpaint.com,10.9001314440275
http://albumoftheyear.org/album/17276-weezer-everything-will-be-alright-in-the-end.php,69,75,80,91,80,60,60,70,,73,65,70,58,80,,55,50,60,60,70,Weezer,http://albumoftheyear.org/artist/583-weezer/,Everything Will Be Alright in the End,2014-10-07,Republic,Power Pop,http://weezer.com,10.9029812436783
http://albumoftheyear.org/album/15435-white-fence-for-the-recently-found-innocent.php,71,67,80,67,60,,,70,,75,70,70,,80,80,50,75,,40,75,White Fence,http://albumoftheyear.org/artist/2127-white-fence/,For The Recently Found Innocent,2014-07-22,Drag City,Garage Rock,,11.5170680792838
http://albumoftheyear.org/album/14538-white-lung-deep-fantasy.php,78,,70,75,80,80,,70,50,,86,70,91,70,80,80,80,,80,70,White Lung,http://albumoftheyear.org/artist/2488-white-lung/,Deep Fantasy,2014-06-17,Domino,Punk Rock,,9.4339811320566
http://albumoftheyear.org/album/12723-wild-beasts-present-tense.php,85,,80,67,100,80,90,90,,75,82,90,83,,,95,100,80,,65,Wild Beasts,http://albumoftheyear.org/artist/406-wild-beasts/,Present Tense,2014-02-25,Domino,Art Pop,http://www.wild-beasts.co.uk,9.33768213703528
http://albumoftheyear.org/album/13270-wye-oak-shriek.php,76,91,80,58,,70,90,80,,63,72,70,75,70,70,65,85,80,,80,Wye Oak,http://albumoftheyear.org/artist/557-wye-oak/,Shriek,2014-04-29,Merge / City Slang,Indie Pop,http://wyeoakmusic.com,9.30031361478382
http://albumoftheyear.org/album/16903-zola-jesus-taiga.php,69,,70,58,80,50,80,70,80,60,59,60,75,40,,85,85,,,80,Zola Jesus,http://albumoftheyear.org/artist/1379-zola-jesus/,Taiga,2014-10-07,Mute,Art Pop,,13.3227338821744
